Sample,Species,Treatment,SandBurialDuration,RecoveryDuration,fvfm
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,1m,0,0.644
230406CMRe_4-2,Ls-NTCR (Lithophyllum sp.),Buried,1m,0,0.232
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,1m,0,0.688
230406CMRe_6-3,Ls-NTCR (Lithophyllum sp.),Buried,1m,0,0.19
230406CMRe_1-17,Ls-NTCR (Lithophyllum sp.),Buried,1m,1,0.237
230406CMRe_3-1,Ls-NTCR (Lithophyllum sp.),Buried,1m,1,0.193
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,1m,1,0.608
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,1m,1,0.453
230406CMRe_3-6,Ls-NTCR (Lithophyllum sp.),Buried,1m,1,0.445
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,1m,1,0.628
230406CMRe_4-2,Ls-NTCR (Lithophyllum sp.),Buried,1m,1,0.46
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,1m,1,0.636
230406CMRe_6-3,Ls-NTCR (Lithophyllum sp.),Buried,1m,1,0.328
230406CMRe_1-17,Ls-NTCR (Lithophyllum sp.),Buried,1m,2,0.214
230406CMRe_3-1,Ls-NTCR (Lithophyllum sp.),Buried,1m,2,0.447
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,1m,2,0.678
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,1m,2,0.638
230406CMRe_3-6,Ls-NTCR (Lithophyllum sp.),Buried,1m,2,0.492
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,1m,2,0.502
230406CMRe_4-2,Ls-NTCR (Lithophyllum sp.),Buried,1m,2,0.474
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,1m,2,0.625
230406CMRe_6-3,Ls-NTCR (Lithophyllum sp.),Buried,1m,2,0.401
230406CMRe_1-17,Ls-NTCR (Lithophyllum sp.),Buried,1m,3,0.248
230406CMRe_3-1,Ls-NTCR (Lithophyllum sp.),Buried,1m,3,0.563
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,1m,3,0.669
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,1m,3,0.655
230406CMRe_3-6,Ls-NTCR (Lithophyllum sp.),Buried,1m,3,0.55
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,1m,3,0.675
230406CMRe_4-2,Ls-NTCR (Lithophyllum sp.),Buried,1m,3,0.554
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,1m,3,0.612
230406CMRe_6-3,Ls-NTCR (Lithophyllum sp.),Buried,1m,3,0.486
230406CMRe_1-17,Ls-NTCR (Lithophyllum sp.),Buried,1m,4,0.448
